id,request,language,task,concerning
bf7a26d1-c317-4d9b-a709-6e6593c5914c,The user's overall request for the assistant is to help draft a concise summary and action items related to event planning for the arts.,,The task is to draft a concise summary and action items for an event planning task related to the arts.,2
d44033ab-e35d-4fb5-98b8-b03ceadf7810,The user's overall request for the assistant is to draft a concise summary and action items.,,The task is to draft a concise summary and action items based on the preceding conversation.,2
918bca10-eabb-4cf7-9cba-6f1890d1929f,The user's overall request for the assistant is to outline a 3-day itinerary with budget tips.,,The task is to outline a 3-day itinerary with budget tips.,2
4562ae6e-cdad-4a66-bcb6-9a2d4bfc9f7b,The user's overall request for the assistant is to brainstorm ways to visualize quarterly metrics.,,The task is to brainstorm ways to visualize quarterly metrics.,2
3a4d9586-7eb4-47d5-b230-03863570d590,"The user's overall request for the assistant is to draft a concise summary and action items, using a small multiples chart and a single summary KPI at the top.",,"The task is to draft a concise summary and action items, using a small multiples chart and a single summary KPI at the top.",2
eeda904f-b25d-4e1d-b552-b88e99445fde,The user's overall request for the assistant is to acknowledge receipt of forms.,,The task is to draft a response acknowledging receipt of forms.,1
ee98278c-bd52-4013-bbb2-ac0ff4797006,The user's overall request for the assistant is to outline a 3-day itinerary with budget tips for event planning related to the arts.,,The task is to outline a 3-day itinerary with budget tips for event planning related to the arts.,2
6047bee0-30c5-41ab-a76c-0868b689cd0d,"The user's overall request for the assistant is to outline a 3-day itinerary with budget tips, and to use a small multiples chart and a single summary KPI at the top to present the information.",,"The task is to outline a 3-day itinerary with budget tips, and to present the information using a small multiples chart and a single summary KPI at the top.",2
7114793b-7b83-4362-8157-2d83d337e4e5,The user's overall request for the assistant is to outline a 3-day itinerary with budget tips.,,The task is to outline a 3-day itinerary with budget tips.,2
edcc68a3-05c7-4518-a9a7-f886452672f9,The user's overall request for the assistant is to write a concise email asking for meeting availability.,,The task is to write a concise email requesting meeting availability.,2
0f237b05-d645-4f75-bc52-2f80e9ebbef1,The user's overall request for the assistant is to help visualize quarterly metrics in a concise way.,,The task is to provide a concise visualization or presentation of quarterly metrics.,2
